index,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate_cat,DistanceFromHome_cat,HourlyRate_cat,MonthlyIncome_cat,MonthlyRate_cat,TotalWorkingYears_cat,YearsAtCompany_cat,YearsInCurrentRole_cat,MonthlyRatetoIncomeDiff,MonthlyRatetoIncomeDiff_cat
386,37,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17,800-1200,10-15,>80,2500-5000,>25000,15 to 20,15 to 20,6 to 8,23880,>20k
32,30,0,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,<400,5-10,>80,<2500,15000-20000,5 to 10,5 to 10,<2,13911,10k-15k
723,46,0,Travel_Rarely,566,Research & Development,7,2,Medical,1,1007,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,Y,No,13,3,2,80,1,13,3,3,8,7,0,7,400-800,5-10,60-80,>10000,20000-25000,10 to 15,5 to 10,6 to 8,13363,10k-15k
357,21,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,400-800,<2,>80,<2500,5000-10000,<5,<5,<2,6976,5k-10k
1022,37,0,Non-Travel,1413,Research & Development,5,2,Technical Degree,1,1440,3,Male,84,4,1,Laboratory Technician,3,Single,3500,25470,0,Y,No,14,3,1,80,0,7,2,1,6,5,1,3,>1200,2-5,>80,2500-5000,>25000,5 to 10,5 to 10,4 to 6,21970,>20k
1423,22,0,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2,400-800,<2,60-80,2500-5000,15000-20000,<5,<5,<2,14249,10k-15k
996,27,0,Travel_Rarely,205,Sales,10,3,Marketing,1,1403,4,Female,98,2,2,Sales Executive,4,Married,5769,7100,1,Y,Yes,11,3,4,80,0,6,3,3,6,2,4,4,<400,5-10,>80,5000-7500,5000-10000,5 to 10,5 to 10,<2,1331,0k to 5k
474,24,0,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,400-800,>20,>80,2500-5000,20000-25000,5 to 10,5 to 10,4 to 6,18905,15k-20k
678,48,0,Travel_Rarely,1469,Research & Development,20,4,Medical,1,945,4,Male,51,3,1,Research Scientist,3,Married,2259,5543,4,Y,No,17,3,1,80,2,13,2,2,0,0,0,0,>1200,15-20,40-60,<2500,5000-10000,10 to 15,,<2,3284,0k to 5k
132,31,1,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,400-800,15-20,60-80,2500-5000,20000-25000,<5,<5,<2,20229,>20k
1125,29,0,Travel_Frequently,995,Research & Development,2,1,Life Sciences,1,1590,1,Male,87,3,2,Healthcare Representative,4,Divorced,8853,24483,1,Y,No,19,3,4,80,1,6,0,4,6,4,1,3,800-1200,<2,>80,7500-10000,20000-25000,5 to 10,5 to 10,2 to 4,15630,15k-20k
1453,36,0,Travel_Rarely,1120,Sales,11,4,Marketing,1,2045,2,Female,100,2,2,Sales Executive,4,Married,6652,14369,4,Y,No,13,3,1,80,1,8,2,2,6,3,0,0,800-1200,10-15,>80,5000-7500,10000-15000,5 to 10,5 to 10,2 to 4,7717,5k-10k
140,32,1,Travel_Rarely,1033,Research & Development,9,3,Medical,1,190,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4,800-1200,5-10,40-60,2500-5000,10000-15000,5 to 10,<5,2 to 4,6024,5k-10k
278,26,0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,>1200,<2,>80,5000-7500,>25000,5 to 10,5 to 10,4 to 6,20370,>20k
791,35,1,Travel_Rarely,1204,Sales,4,3,Technical Degree,1,1100,4,Male,86,3,3,Sales Executive,1,Single,9582,10333,0,Y,Yes,22,4,1,80,0,9,2,3,8,7,4,7,>1200,2-5,>80,7500-10000,10000-15000,5 to 10,5 to 10,6 to 8,751,0k to 5k
1174,25,0,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,1653,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,400-800,<2,60-80,5000-7500,<5000,5 to 10,5 to 10,6 to 8,-233,<0
90,40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,400-800,<2,60-80,>10000,10000-15000,20 to 25,>20,2 to 4,612,0k to 5k
51,28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,>1200,2-5,40-60,2500-5000,10000-15000,<5,<5,<2,7738,5k-10k
898,43,0,Travel_Rarely,920,Research & Development,3,3,Life Sciences,1,1255,3,Male,96,1,5,Research Director,4,Married,19740,18625,3,Y,No,14,3,2,80,1,25,2,3,8,7,0,7,800-1200,2-5,>80,>10000,15000-20000,20 to 25,5 to 10,6 to 8,-1115,<0
452,45,0,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,400-800,<2,60-80,2500-5000,15000-20000,5 to 10,5 to 10,6 to 8,11372,10k-15k
127,19,1,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,400-800,>20,40-60,<2500,>25000,,,<2,25145,>20k
1095,33,0,Travel_Rarely,589,Research & Development,28,4,Life Sciences,1,1549,2,Male,79,3,2,Laboratory Technician,3,Married,5207,22949,1,Y,Yes,12,3,2,80,1,15,3,3,15,14,5,7,400-800,>20,60-80,5000-7500,20000-25000,10 to 15,10 to 15,>8,17742,15k-20k
894,54,0,Travel_Rarely,685,Research & Development,3,3,Life Sciences,1,1250,4,Male,85,3,4,Research Director,4,Married,17779,23474,3,Y,No,14,3,1,80,0,36,2,3,10,9,0,9,400-800,2-5,>80,>10000,20000-25000,>30,5 to 10,>8,5695,5k-10k
7,30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,>1200,>20,60-80,2500-5000,10000-15000,<5,<5,<2,10642,10k-15k
718,45,0,Non-Travel,248,Research & Development,23,2,Life Sciences,1,1002,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,Y,Yes,15,3,3,80,1,9,2,3,9,8,0,8,<400,>20,40-60,2500-5000,10000-15000,5 to 10,5 to 10,6 to 8,10406,10k-15k
238,32,0,Travel_Rarely,1401,Sales,4,2,Life Sciences,1,330,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,2,Y,No,11,3,1,80,1,6,5,3,4,3,1,2,>1200,2-5,40-60,2500-5000,20000-25000,5 to 10,<5,2 to 4,17059,15k-20k
705,39,0,Travel_Rarely,903,Sales,2,5,Life Sciences,1,985,1,Male,41,4,3,Sales Executive,3,Single,7880,2560,0,Y,No,18,3,4,80,0,9,3,3,8,7,0,7,800-1200,<2,40-60,7500-10000,<5000,5 to 10,5 to 10,6 to 8,-5320,<0
60,32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,400-800,<2,<40,5000-7500,10000-15000,5 to 10,5 to 10,6 to 8,4715,0k to 5k
491,43,0,Travel_Frequently,1001,Research & Development,9,5,Medical,1,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7,800-1200,5-10,60-80,5000-7500,15000-20000,5 to 10,5 to 10,6 to 8,13948,10k-15k
644,31,0,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,1,895,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,Y,Yes,19,3,2,80,1,8,2,3,6,4,0,2,>1200,10-15,40-60,<2500,10000-15000,5 to 10,5 to 10,2 to 4,12515,10k-15k
927,36,0,Travel_Rarely,429,Research & Development,2,4,Life Sciences,1,1294,3,Female,53,3,2,Manufacturing Director,2,Single,5410,2323,9,Y,Yes,11,3,4,80,0,18,2,3,16,14,5,12,400-800,<2,40-60,5000-7500,<5000,15 to 20,15 to 20,>8,-3087,<0
182,41,1,Travel_Rarely,1356,Sales,20,2,Marketing,1,248,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,>1200,15-20,60-80,2500-5000,20000-25000,<5,<5,2 to 4,18588,15k-20k
515,35,0,Non-Travel,727,Research & Development,3,3,Life Sciences,1,704,3,Male,41,2,1,Laboratory Technician,3,Married,1281,16900,1,Y,No,18,3,3,80,2,1,3,3,1,0,0,0,400-800,2-5,40-60,<2500,15000-20000,<5,<5,<2,15619,15k-20k
39,33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,800-1200,<2,40-60,5000-7500,<5000,5 to 10,<5,2 to 4,-2183,<0
283,55,0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,1,389,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Y,Yes,19,3,4,80,1,12,4,3,10,7,0,8,<400,15-20,<40,5000-7500,15000-20000,10 to 15,5 to 10,6 to 8,10557,10k-15k
1193,38,0,Travel_Frequently,148,Research & Development,2,3,Medical,1,1675,4,Female,42,2,1,Laboratory Technician,2,Single,2440,23826,1,Y,No,22,4,2,80,0,4,3,3,4,3,3,3,<400,<2,40-60,<2500,20000-25000,<5,<5,2 to 4,21386,>20k
367,50,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3,800-1200,5-10,>80,>10000,<5000,15 to 20,<5,2 to 4,-7741,<0
1251,30,0,Travel_Rarely,979,Sales,15,2,Marketing,1,1754,3,Male,94,2,3,Sales Executive,1,Divorced,7140,3088,2,Y,No,11,3,1,80,1,12,2,3,7,7,1,7,800-1200,10-15,>80,5000-7500,<5000,10 to 15,5 to 10,6 to 8,-4052,<0
913,45,1,Travel_Rarely,1449,Sales,2,3,Marketing,1,1277,1,Female,94,1,5,Manager,2,Single,18824,2493,2,Y,Yes,16,3,1,80,0,26,2,3,24,10,1,11,>1200,<2,>80,>10000,<5000,25 to 30,>20,>8,-16331,<0
1290,34,1,Travel_Frequently,234,Research & Development,9,4,Life Sciences,1,1807,4,Male,93,3,2,Laboratory Technician,1,Married,5346,6208,4,Y,No,17,3,3,80,1,11,3,2,7,1,0,7,<400,5-10,>80,5000-7500,5000-10000,10 to 15,5 to 10,<2,862,0k to 5k
492,48,0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,664,4,Female,40,2,4,Manager,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2,>1200,<2,<40,>10000,15000-20000,20 to 25,<5,<2,2595,0k to 5k
667,41,1,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,927,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,800-1200,<2,40-60,2500-5000,15000-20000,5 to 10,5 to 10,6 to 8,14947,10k-15k
593,36,0,Travel_Rarely,676,Research & Development,1,3,Other,1,823,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,0,Y,No,15,3,1,80,1,10,2,3,9,7,0,5,400-800,<2,<40,5000-7500,20000-25000,5 to 10,5 to 10,6 to 8,18133,15k-20k
1136,28,1,Travel_Rarely,329,Research & Development,24,3,Medical,1,1604,3,Male,51,3,1,Laboratory Technician,2,Married,2408,7324,1,Y,Yes,17,3,3,80,3,1,3,3,1,1,0,0,<400,>20,40-60,<2500,5000-10000,<5,<5,<2,4916,0k to 5k
881,32,0,Travel_Frequently,1316,Research & Development,2,2,Life Sciences,1,1235,4,Female,38,3,2,Research Scientist,3,Single,4998,2338,4,Y,Yes,14,3,4,80,0,10,2,3,8,7,0,7,>1200,<2,<40,2500-5000,<5000,5 to 10,5 to 10,6 to 8,-2660,<0
398,37,0,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,800-1200,>20,60-80,2500-5000,20000-25000,10 to 15,10 to 15,>8,19417,15k-20k
711,29,1,Travel_Rarely,906,Research & Development,10,3,Life Sciences,1,994,4,Female,92,2,1,Research Scientist,1,Single,2404,11479,6,Y,Yes,20,4,3,80,0,3,5,3,0,0,0,0,800-1200,5-10,>80,<2500,10000-15000,<5,,<2,9075,5k-10k
655,33,0,Travel_Rarely,1075,Human Resources,3,2,Human Resources,1,910,4,Male,57,3,1,Human Resources,2,Divorced,2277,22650,3,Y,Yes,11,3,3,80,1,7,4,4,4,3,0,3,800-1200,2-5,40-60,<2500,20000-25000,5 to 10,<5,2 to 4,20373,>20k
958,34,0,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1,1344,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,Y,No,11,3,4,80,1,10,0,2,9,7,1,6,800-1200,5-10,>80,7500-10000,5000-10000,5 to 10,5 to 10,6 to 8,-3006,<0
805,45,0,Non-Travel,1050,Sales,9,4,Life Sciences,1,1117,2,Female,65,2,2,Sales Executive,3,Married,5593,17970,1,Y,No,13,3,4,80,1,15,2,3,15,10,4,12,800-1200,5-10,60-80,5000-7500,15000-20000,10 to 15,10 to 15,>8,12377,10k-15k
1092,45,0,Travel_Rarely,950,Research & Development,28,3,Technical Degree,1,1546,4,Male,97,3,1,Research Scientist,4,Married,2132,4585,4,Y,No,20,4,4,80,1,8,3,3,5,4,0,3,800-1200,>20,>80,<2500,<5000,5 to 10,<5,2 to 4,2453,0k to 5k
795,37,0,Travel_Rarely,309,Sales,10,4,Life Sciences,1,1105,4,Female,88,2,2,Sales Executive,4,Divorced,6694,24223,2,Y,Yes,14,3,3,80,3,8,5,3,1,0,0,0,<400,5-10,>80,5000-7500,20000-25000,5 to 10,<5,<2,17529,15k-20k
1381,28,0,Non-Travel,1103,Research & Development,16,3,Medical,1,1947,3,Male,49,3,1,Research Scientist,3,Single,2144,2122,1,Y,No,14,3,3,80,0,5,3,2,5,3,1,4,800-1200,15-20,40-60,<2500,<5000,<5,<5,2 to 4,-22,<0
801,50,1,Travel_Frequently,959,Sales,1,4,Other,1,1113,4,Male,81,3,2,Sales Executive,3,Single,4728,17251,3,Y,Yes,14,3,4,80,0,5,4,3,0,0,0,0,800-1200,<2,>80,2500-5000,15000-20000,<5,,<2,12523,10k-15k
380,24,0,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,>1200,5-10,60-80,2500-5000,5000-10000,<5,<5,<2,1655,0k to 5k
943,46,0,Travel_Rarely,991,Human Resources,1,2,Life Sciences,1,1314,4,Female,44,3,1,Human Resources,1,Single,3423,22957,6,Y,No,12,3,3,80,0,10,3,4,7,6,5,7,800-1200,<2,40-60,2500-5000,20000-25000,5 to 10,5 to 10,4 to 6,19534,15k-20k
713,45,0,Travel_Rarely,974,Research & Development,1,4,Medical,1,996,4,Female,91,3,1,Laboratory Technician,4,Divorced,2270,11005,3,Y,No,14,3,4,80,2,8,2,3,5,3,0,2,800-1200,<2,>80,<2500,10000-15000,5 to 10,<5,2 to 4,8735,5k-10k
199,38,0,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,273,4,Male,54,3,2,Manufacturing Director,4,Married,6261,4185,3,Y,No,18,3,1,80,1,9,3,1,7,7,1,7,800-1200,>20,40-60,5000-7500,<5000,5 to 10,5 to 10,6 to 8,-2076,<0
702,30,0,Travel_Rarely,231,Sales,8,2,Other,1,982,3,Male,62,3,3,Sales Executive,3,Divorced,7264,9977,5,Y,No,11,3,1,80,1,10,2,4,8,4,7,7,<400,5-10,60-80,5000-7500,5000-10000,5 to 10,5 to 10,2 to 4,2713,0k to 5k
234,33,1,Travel_Rarely,813,Research & Development,14,3,Medical,1,325,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Y,Yes,13,3,3,80,1,8,2,1,5,4,0,4,800-1200,10-15,40-60,<2500,20000-25000,5 to 10,<5,2 to 4,19713,15k-20k
758,59,0,Travel_Rarely,1089,Sales,1,2,Technical Degree,1,1048,2,Male,66,3,3,Manager,4,Married,11904,11038,3,Y,Yes,14,3,3,80,1,14,1,1,6,4,0,4,800-1200,<2,60-80,>10000,10000-15000,10 to 15,5 to 10,2 to 4,-866,<0
257,40,0,Travel_Rarely,1416,Research & Development,2,2,Medical,1,352,1,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,Y,No,19,3,4,80,1,22,5,3,21,7,3,9,>1200,<2,40-60,>10000,5000-10000,20 to 25,>20,6 to 8,-13487,<0
445,55,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,Female,83,3,4,Manager,2,Single,16835,9873,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7,800-1200,15-20,>80,>10000,5000-10000,>30,5 to 10,>8,-6962,<0
520,48,0,Travel_Rarely,817,Sales,2,1,Marketing,1,712,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,Y,No,12,3,4,80,0,12,3,3,2,2,2,2,800-1200,<2,40-60,7500-10000,15000-20000,10 to 15,<5,<2,10477,10k-15k
299,51,0,Travel_Rarely,1302,Research & Development,2,3,Medical,1,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2,>1200,<2,>80,5000-7500,15000-20000,10 to 15,<5,<2,10839,10k-15k
563,25,0,Travel_Rarely,883,Sales,26,1,Medical,1,781,3,Female,32,3,2,Sales Executive,4,Single,6180,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4,800-1200,>20,<40,5000-7500,20000-25000,5 to 10,5 to 10,4 to 6,16627,15k-20k
1233,30,0,Travel_Rarely,793,Research & Development,16,1,Life Sciences,1,1729,2,Male,33,3,1,Research Scientist,4,Married,2862,3811,1,Y,No,12,3,2,80,1,10,2,2,10,0,0,8,400-800,15-20,<40,2500-5000,<5000,5 to 10,5 to 10,<2,949,0k to 5k
1437,39,0,Non-Travel,105,Research & Development,9,3,Life Sciences,1,2022,4,Male,87,3,5,Manager,4,Single,19431,15302,2,Y,No,13,3,3,80,0,21,3,2,6,0,1,3,<400,5-10,>80,>10000,15000-20000,20 to 25,5 to 10,<2,-4129,<0
320,27,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Y,Yes,11,3,1,80,0,5,3,3,5,4,0,4,>1200,<2,60-80,2500-5000,5000-10000,<5,<5,2 to 4,764,0k to 5k
175,56,0,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,241,3,Female,67,3,1,Research Scientist,1,Divorced,4257,13939,4,Y,Yes,18,3,3,80,1,19,3,3,2,2,2,2,400-800,5-10,60-80,2500-5000,10000-15000,15 to 20,<5,<2,9682,5k-10k
810,46,0,Travel_Rarely,406,Sales,3,1,Marketing,1,1124,1,Male,52,3,4,Manager,3,Married,17465,15596,3,Y,No,12,3,4,80,1,23,3,3,12,9,4,9,400-800,2-5,40-60,>10000,15000-20000,20 to 25,10 to 15,>8,-1869,<0
1374,58,0,Travel_Rarely,605,Sales,21,3,Life Sciences,1,1938,4,Female,72,3,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0,400-800,>20,60-80,>10000,10000-15000,25 to 30,<5,<2,-6114,<0
632,42,0,Travel_Frequently,1271,Research & Development,2,1,Medical,1,875,2,Male,35,3,1,Research Scientist,4,Single,2515,9068,5,Y,Yes,14,3,4,80,0,8,2,3,2,1,2,2,>1200,<2,<40,2500-5000,5000-10000,5 to 10,<5,<2,6553,5k-10k
57,35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,800-1200,>20,<40,2500-5000,15000-20000,<5,<5,<2,11988,10k-15k
353,37,0,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7,>1200,5-10,40-60,5000-7500,15000-20000,10 to 15,5 to 10,6 to 8,11027,10k-15k
895,31,0,Travel_Rarely,1332,Research & Development,11,2,Medical,1,1251,3,Male,80,3,2,Healthcare Representative,1,Married,6833,17089,1,Y,Yes,12,3,4,80,0,6,2,2,6,5,0,1,>1200,10-15,60-80,5000-7500,15000-20000,5 to 10,5 to 10,4 to 6,10256,10k-15k
1023,56,0,Travel_Rarely,1255,Research & Development,1,2,Life Sciences,1,1441,1,Female,90,3,1,Research Scientist,1,Married,2066,10494,2,Y,No,22,4,4,80,1,5,3,4,3,2,1,0,>1200,<2,>80,<2500,10000-15000,<5,<5,<2,8428,5k-10k
1365,29,1,Travel_Frequently,746,Sales,24,3,Technical Degree,1,1928,3,Male,45,4,1,Sales Representative,1,Single,1091,10642,1,Y,No,17,3,4,80,0,1,3,3,1,0,0,0,400-800,>20,40-60,<2500,10000-15000,<5,<5,<2,9551,5k-10k
100,37,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,800-1200,5-10,60-80,<2500,20000-25000,5 to 10,<5,<2,21575,>20k
120,30,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,>1200,>20,>80,2500-5000,20000-25000,5 to 10,5 to 10,6 to 8,19697,15k-20k
181,34,0,Travel_Rarely,629,Research & Development,27,2,Medical,1,247,4,Female,95,3,1,Research Scientist,2,Single,2311,5711,2,Y,No,15,3,4,80,0,9,3,3,3,2,1,2,400-800,>20,>80,<2500,5000-10000,5 to 10,<5,<2,3400,0k to 5k
596,35,0,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,1,826,4,Female,40,4,1,Research Scientist,3,Single,2506,13301,3,Y,No,13,3,3,80,0,7,0,3,2,2,2,2,>1200,<2,<40,2500-5000,10000-15000,5 to 10,<5,<2,10795,10k-15k
1131,34,0,Travel_Frequently,653,Research & Development,10,4,Technical Degree,1,1597,4,Male,92,2,2,Healthcare Representative,3,Married,5063,15332,1,Y,No,14,3,2,80,1,8,3,2,8,2,7,7,400-800,5-10,>80,5000-7500,15000-20000,5 to 10,5 to 10,<2,10269,10k-15k
219,54,0,Travel_Rarely,1147,Sales,3,3,Marketing,1,303,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,Y,No,14,3,4,80,1,16,4,3,6,2,0,5,800-1200,2-5,40-60,5000-7500,15000-20000,15 to 20,5 to 10,<2,11071,10k-15k
686,41,0,Travel_Rarely,263,Research & Development,6,3,Medical,1,957,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2,Y,Yes,13,3,3,80,0,20,3,3,18,13,2,17,<400,5-10,40-60,2500-5000,<5000,15 to 20,15 to 20,>8,-1602,<0
462,34,0,Travel_Rarely,258,Sales,21,4,Life Sciences,1,621,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7,<400,>20,60-80,5000-7500,15000-20000,5 to 10,5 to 10,6 to 8,14584,10k-15k
46,34,0,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,800-1200,>20,60-80,2500-5000,10000-15000,5 to 10,5 to 10,4 to 6,5466,5k-10k
546,29,0,Travel_Rarely,1396,Sales,10,3,Life Sciences,1,749,3,Male,99,3,1,Sales Representative,3,Single,2642,2755,1,Y,No,11,3,3,80,0,1,6,3,1,0,0,0,>1200,5-10,>80,2500-5000,<5000,<5,<5,<2,113,0k to 5k
79,46,0,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,800-1200,2-5,60-80,5000-7500,10000-15000,15 to 20,<5,<2,5404,5k-10k
1398,33,0,Travel_Frequently,1303,Research & Development,7,2,Life Sciences,1,1970,4,Male,36,3,2,Healthcare Representative,3,Divorced,5968,18079,1,Y,No,20,4,3,80,3,9,2,3,9,7,2,8,>1200,5-10,<40,5000-7500,15000-20000,5 to 10,5 to 10,6 to 8,12111,10k-15k
126,58,1,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,<400,>20,>80,>10000,<5000,>30,>20,>8,-6847,<0
258,51,0,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,353,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0,800-1200,<2,>80,2500-5000,20000-25000,<5,<5,<2,20508,>20k
351,32,0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,800-1200,<2,60-80,<2500,<5000,5 to 10,5 to 10,<2,1586,0k to 5k
661,43,0,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,920,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,Y,No,21,4,3,80,1,4,2,4,1,0,0,0,<400,5-10,40-60,2500-5000,20000-25000,<5,<5,<2,19049,15k-20k
